playerid,salary,rookie,position,games,rbi,avg
538,13000000,0,10,109,89,0.264
539,525000,0,6,77,20,0.218
540,23428571,0,3,145,96,0.247
541,5500000,0,3,38,20,0.22
543,13100000,0,2,51,22,0.268
545,750000,0,11,91,15,0.253
546,409500,0,2,17,2,0.19
549,444000,0,9,157,91,0.268
552,11300000,0,3,160,127,0.292
553,650000,0,5,125,37,0.246
554,450000,0,5,145,68,0.251
558,400000,1,2,51,14,0.187
562,1400000,0,4,130,31,0.317
565,415000,0,6,97,39,0.277
567,2000000,0,9,90,49,0.276
573,3850000,0,4,84,24,0.232
577,405500,0,6,80,14,0.169
588,410000,0,5,154,84,0.26
591,457000,0,4,157,83,0.326
598,465000,0,5,106,51,0.283
618,15730195,0,6,36,16,0.357
620,750000,0,2,96,35,0.217
621,1625000,0,10,121,49,0.252
622,850000,0,3,98,23,0.249
623,550000,0,4,99,17,0.242
625,13400000,0,5,143,77,0.266
626,10000000,0,6,161,57,0.281
627,15500000,0,9,143,91,0.303
628,8500000,0,10,85,45,0.234
629,950000,0,2,38,12,0.287
630,1550000,0,6,142,60,0.267
632,810000,0,5,100,40,0.29
634,15000000,0,5,149,111,0.289
635,850000,0,2,57,21,0.213
636,945000,0,8,118,32,0.264
637,11500000,0,5,23,14,0.247
638,1500000,0,7,52,14,0.24
641,5083333,0,8,110,41,0.283
642,5000000,0,6,90,23,0.222
644,6000000,0,3,65,38,0.287
645,4000000,0,3,87,21,0.274
646,411000,0,9,150,113,0.299
647,13000000,0,7,142,71,0.303
649,6200000,0,2,108,51,0.205
650,4200000,0,6,137,55,0.316
651,16500000,0,8,146,78,0.278
654,21600000,0,6,149,69,0.3
655,14000000,0,7,108,75,0.28
658,1300000,0,8,107,50,0.303
659,900000,0,8,119,71,0.264
662,1165000,0,3,78,25,0.265
663,460000,0,9,155,71,0.239
665,401200,0,5,95,33,0.253
666,4500000,0,6,105,35,0.213
669,415000,0,2,92,42,0.194
671,440000,0,11,122,40,0.301
678,407000,0,4,94,28,0.269
684,7000000,1,9,149,58,0.257
693,405000,0,2,53,12,0.226
697,1975000,0,8,133,26,0.251
704,700000,0,4,121,71,0.319
708,406000,0,8,159,85,0.248
714,1500000,0,6,150,67,0.291
736,2000000,0,2,78,24,0.218
737,2750000,0,4,101,38,0.28
739,12333333,0,5,128,75,0.364
740,13326306,0,10,114,57,0.225
745,9000000,0,4,121,59,0.28
748,1250000,0,2,23,4,0.17
749,2200000,0,11,119,53,0.224
750,9666666,0,9,146,63,0.306
751,6650000,0,6,87,22,0.272
754,12500000,0,5,151,99,0.27
755,1850000,0,11,34,7,0.173
757,4900000,0,4,143,46,0.283
758,1000000,0,11,89,20,0.273
759,5250000,0,10,125,77,0.321
761,15666666,0,10,149,90,0.245
763,17102149,0,9,162,42,0.311
765,3500000,0,5,90,32,0.235
766,28000000,0,5,138,103,0.302
767,900000,0,11,106,24,0.225
768,10442030,0,2,126,43,0.22
769,6000000,0,3,139,102,0.247
770,575000,0,6,54,18,0.282
771,6333333,0,7,42,7,0.147
773,12560000,0,10,71,30,0.24
775,3000000,0,8,48,10,0.298
778,13000000,0,10,93,45,0.294
779,600000,0,11,97,5,0.13
784,2200000,0,2,109,48,0.224
787,2650000,0,6,145,74,0.283
789,411000,0,3,161,90,0.289
790,4375000,0,6,159,68,0.297
791,5250000,0,5,160,124,0.302
792,3925000,0,9,138,85,0.283
793,500000,0,5,154,95,0.277
794,3166666,0,8,157,90,0.268
795,1750000,0,4,159,89,0.297
797,404100,0,2,109,55,0.261
798,403000,0,11,88,8,0.235
801,1800000,0,5,127,54,0.238
805,1000000,0,8,139,66,0.28
807,404400,0,9,129,41,0.248
809,402500,0,11,23,1,0.2
814,1050000,0,5,62,11,0.262
817,419500,0,7,144,75,0.3
818,432500,0,4,91,37,0.306
819,402500,0,8,138,61,0.268
826,1550000,0,6,153,51,0.279
830,750000,0,6,100,46,0.263
848,2800000,0,6,47,20,0.213
851,14000000,0,9,108,64,0.28
852,10000000,0,6,136,55,0.27
855,6500000,0,7,51,9,0.224
856,2150000,0,4,110,36,0.277
858,1975000,0,2,49,24,0.245
859,16000000,0,9,156,100,0.296
861,2400000,0,6,95,28,0.284
